Название продукта;Ккал;Белки;Жиры ;Углеводы;Витамин B1 ;Витамин B2;Витамин B3 ;Витамин B6;Витамин B7 ;Витамин B12 ;Витамин A;Витамин C;Витамин D;Витамин E;Витамин K;Кальций;Фосфор;Магний;Железо ;Йод;Калий;Натрий;Цинк;Селен;Медь;Марганец;Хром;Фтор;Омега-3;Омега-6;Пробиотики;Клетчатка;Цена;Содержание воды (мг/100г)
Салат листовой;12;1300;300;2200;0.07;0.08;0.38;0.05;0;0;0.370;18.0;0;0.22;0.173;36;29;13;0.9;0.001;194;28;0.20;0.0004;0.03;0.18;0;0.001;0.1;0.3;0;1200;30;95
Шпинат;22;2900;400;3600;0.08;0.19;0.72;0.20;0;0;0.469;28.   ;0;02.   ;0.482;106;49;79;03.   ;0.002;558;79;0.53;0.0011;0.13;0.90;0.0001;0.003;14;26;0;2200;50;91
Свекла;43;1600;170;9560;0.03;0.04;0.40;0.07;0;0;0.002;04.   ;0;0.05;0.005;16;40;23;0.8;0.002;325;78;0.35;0.0007;0.08;0.33;0;0.02;0.2;0.1;0;2800;4;87
Томаты;24;1100;200;3800;0.06;0.04;0.50;0.10;0.001;0;0.133;25;0;0.70;0.008;14;26;11;0.9;0.002;290;3;0.20;0.0004;0.11;0.14;0.01;0.02;0.003;0.08;0;1400;20;94
Тыква;22;1000;100;4400;0.05;0.06;0.50;0.13;0.0004;0;0.250;8;0;0.40;0.001;25;25;12;0.4;0.001;204;4;0.24;0.0003;0.18;0.04;0;0.086;0.12;0.04;0;2000;6;91
Чеснок;149;6500;500;29900;0.08;0.08;0.70;0.60;0;0;0;10;0;0.30;0.002;181;100;30;01.   ;0.009;260;17;01.   ;0.014;0.13;0.81;0.04;0.008;0.02;0.229;0;1500;20;58
Грибы белые;34;3700;1700;1100;0.04;0.30;   .50;0.07;0;0.04;0;30;0.0002;0.90;0;13;89;15;0.5;0.0025;468;6;0.33;0.009;0.32;0.23;0.06;0.06;0.06;0.79;0;3200;90;90
Горох цельный;298;20500;2000;49500;0.81;0.15;   .20;0.27;0.019;0;0.002;40;0;0.70;0;115;329;107;06.   ;0.0051;873;33;   .18;0.013;0.75;   .75;0.009;0.03;0.12;0.91;0;11200;10;11
Фасоль;298;21000;2000;47000;0.50;0.18;02.   ;0.90;0.0005;0;0;04.   ;0;0.60;0.006;150;480;103;05.   ;0.012;1100;40;   .21;0.025;0.58;   .34;0.01;0.044;0.21;0.178;0;12400;15;12
Яйцо куриное;157;12700;11500;700;0.07;0.44;   .60;0.14;0.0202;0.0005;0.260;0;0.0022;0.60;0.0003;55;192;12;02.   ;0.02;140;134;01.   ;0.0307;0.08;0.029;0.004;0.055;0.101;1.784;0;0;10;75
Горбуша;142;20600;6000;0;0.08;0.11;   .50;0.60;0;0.003;0.030;0.9;0.005;0.50;0.001;20;200;30;0.7;0.02;366;75;0.70;0.035;0.05;0.02;0;0.02;1000;200;0;0;40;70
Чечевица;295;24000;1500;46300;0.50;0.21;   .80;0.54;0.0003;0;0.005;04.   ;0;0.50;0.005;83;390;80;11.   ;0.0035;672;55;   .42;0.0196;0.66;   .19;0.011;0.025;0.109;0.404;0;11500;10;10
Морская капуста;43;900;500;3000;0.05;0.15;0.47;0.02;0;0;0.1;2;0;0.87;0.066;168;42;121;02.   ;0.3;970;520;   .23;0.0007;0.13;0.2;0;0;80;250;0;6500;10;81
Яйцо перепелиное;158;13200;11400;400;0.13;0.79;0.15;0.15;0.002;0.0016;0.156;0;0.0014;01.   ;0.0003;64;226;13;   .65;0.013;132;141;   .47;0.032;0.06;0.03;0.003;0.06;0.44;   .65;0;0;20;74
Горбуша;142;20600;6000;0;0.08;0.11;   .50;0.60;0;0.003;0.030;0.9;0.005;0.50;0.001;20;200;30;0.7;0.02;366;75;0.70;0.035;0.05;0.02;0;0.02;1000;200;0;0;600;70
Икра красная;252;24700;13800;1000;0.19;0.62;0.12;0.32;0;0.01;0.271;0;0.011;   .50;0.0002;275;356;300;11.   ;0.03;181;2280;0.95;0.065;0.11;0.05;0;0.05;6800;81;0;0;40;50
Кальмар;92;15800;1300;3000;0.08;0.09;   .18;0.18;0;0.001;0.015;04.   ;0;   .20;0;32;221;33;0.68;0.03;246;44;   .53;0.044;0.43;0.04;0;0.01;500;20;0;0;20;78
